船舶编号,港口五位码,船舶载重吨(DWT),港口最大靠泊能力(DWT),是否可停靠
9775810,CNSHA,156000,500000,是
9775810,HKHKG,156000,400000,是
9775810,JPYOK,156000,350000,是
9775810,NLRTM,156000,600000,是
9775810,USNYC,156000,450000,是
9775810,CNNGB,156000,500000,是
9775810,SGSIN,156000,650000,是
9775810,DEHAM,156000,350000,是
9775810,AUMEL,156000,300000,是
9775810,FRLHR,156000,350000,是
9775810,CNTAO,156000,500000,是
9775810,ITGOA,156000,400000,是
9775810,USLGB,156000,450000,是
9775810,JPUKB,156000,350000,是
9775810,CNXMN,156000,400000,是
9775810,AUBNE,156000,300000,是
9775810,CNFOC,156000,350000,是
9775810,USSEA,156000,300000,是
9775810,CNQHD,156000,400000,是
9775810,CNDLC,156000,500000,是
9775810,CNLYG,156000,350000,是
9775810,CNBHY,156000,300000,是
9775810,CNZOS,156000,400000,是
9775810,CNTSN,156000,500000,是
9775810,CNHUI,156000,350000,是
9775810,CNZHA,156000,300000,是
9775810,CNZUH,156000,400000,是
9775810,CNJYG,156000,350000,是
9775810,CNMMI,156000,300000,是
9775810,CNCHA,156000,400000,是
9775810,CNSTG,156000,350000,是
9775810,CNYJI,156000,300000,是
9775810,CNQYI,156000,400000,是
9775810,CNSHA,156000,350000,是
9775810,CNMEZ,156000,300000,是
9775810,CNHEY,156000,400000,是
9775810,CNSWE,156000,350000,是
9775810,CNLZB,156000,500000,是
9775810,CNGZP,156000,550000,是
9775810,KRINC,156000,400000,是
9775810,KRBUS,156000,500000,是
9775810,MYTPP,156000,450000,是
9775810,THLCH,156000,400000,是
9775810,VNSGN,156000,350000,是
9775810,IDJKT,156000,400000,是
9775810,PHMNL,156000,350000,是
9775810,INMUM,156000,450000,是
9775810,INCHN,156000,300000,是
9775810,AEJEA,156000,500000,是
9775810,ESBCN,156000,350000,是
9775810,GBFXT,156000,400000,是
9775810,BEANR,156000,500000,是
9775810,FRMRS,156000,350000,是
9775810,ITNAP,156000,300000,是
9775810,USORF,156000,350000,是
9775810,USHOU,156000,500000,是
9775810,CAVAN,156000,350000,是
9775810,MXVER,156000,300000,是
9775810,BRSSZ,156000,400000,是
9775810,CLVAP,156000,350000,是
9775810,ZADUR,156000,400000,是
9857542,CNSHA,318000,500000,是
9857542,HKHKG,318000,400000,是
9857542,JPYOK,318000,350000,是
9857542,NLRTM,318000,600000,是
9857542,USNYC,318000,450000,是
9857542,CNNGB,318000,500000,是
9857542,SGSIN,318000,650000,是
9857542,DEHAM,318000,350000,是
9857542,AUMEL,318000,300000,否
9857542,FRLHR,318000,350000,是
9857542,CNTAO,318000,500000,是
9857542,ITGOA,318000,400000,是
9857542,USLGB,318000,450000,是
9857542,JPUKB,318000,350000,是
9857542,CNXMN,318000,400000,是
9857542,AUBNE,318000,300000,否
9857542,CNFOC,318000,350000,是
9857542,USSEA,318000,300000,否
9857542,CNQHD,318000,400000,是
9857542,CNDLC,318000,500000,是
9857542,CNLYG,318000,350000,是
9857542,CNBHY,318000,300000,否
9857542,CNZOS,318000,400000,是
9857542,CNTSN,318000,500000,是
9857542,CNHUI,318000,350000,是
9857542,CNZHA,318000,300000,否
